dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
immunobiologyaging	Monocytes	Non-classical monocytes	63941	234	234	0	0.9792862439610122	1499	3239	0.009642224253184456	0.8977959009089755	0.9992629475332162	0.9999451657407972	0.9999944039135212	0.9999997175687236	0.9999999998530713
onek1k	Monocytes	Classical monocytes	33230	958	75	0	0.9142485319919601	2840	7665	0.02620562304459473	0.571827438294208	0.9118825925176243	0.9776086613517598	0.994146132645993	0.9991412924893966	0.9999978660920271
onek1k	Monocytes	Non-classical monocytes	15476	926	75	0	0.9439070185352053	863	2156	0.012340154296152575	0.6689136561435332	0.9640051237175898	0.9941522822504921	0.998958217200508	0.9998988539930427	0.9999995239856695
terekhova	Monocytes	Classical monocytes	258863	166	317	0	0.9791027921789462	4983	13251	0.003811787667822318	0.8963150911075426	0.9957291942795046	0.9996168301181	0.9999677589975495	0.9999990482628808	0.9999999999611018
terekhova	Monocytes	Non-classical monocytes	55403	166	317	0	0.9798224247212649	1139	2733	0.004465098335221798	0.9017870417334048	0.9978936641947894	0.9998542280190629	0.9999873132271672	0.9999995867230658	0.9999999999281399
aidav2	NK_ILC	CD16+ NK cells	150720	624	624	0	0.9572775654795236	7475	14653	0.0019355522638386607	0.7034591280411873	0.9951421024870961	0.999944240097164	0.9999988816445652	0.9999999890459562	0.999999999999887
aidav2	NK_ILC	NK cells	5954	599	599	0	0.5117281017799364	3890	4841	0.002938504566656454	0.04664570726957855	0.20527506442443572	0.5006447832026242	0.8252144533894206	0.9904672371557959	0.9999998003362208
aidav2	NK_ILC	Tem/Temra cytotoxic T cells	3833	363	363	0	0.918574648711362	322	804	0.017761370242118206	0.551483402679447	0.9233047537895631	0.9861087252366223	0.9979511855160524	0.9999249183101556	0.999999990470615
immuneindonesia	NK_ILC	CD16+ NK cells	48570	174	174	0	0.7844351480764018	13554	19649	0.002179147513582953	0.11478652770523882	0.6331412977646153	0.9641364919742808	0.9990411002649486	0.9999955877006217	0.9999999999676226
immuneindonesia	NK_ILC	ILC3	100	66	66	0	0.5777155923138326	52	68	0.013508068356472986	0.03191282474041544	0.20520609225071618	0.671929412076383	0.9390425576714236	0.9994715702105937	0.9999980781625313
immuneindonesia	NK_ILC	NK cells	1464	165	165	0	0.5024115786330996	995	1245	0.008954183723580035	0.05412274406853991	0.21214665853927364	0.48027554891138946	0.8051107920162395	0.9816110339617974	0.9999536833626727
immunobiologyaging	NK_ILC	CD16+ NK cells	488490	234	234	0	0.9806319161708211	11563	20126	0.004980103848183412	0.9406038471665245	0.9998698221661111	0.9999952585632623	0.9999997298224584	0.999999993602111	0.9999999999999871
immunobiologyaging	NK_ILC	ILC3	1523	218	218	0	0.6636985775812488	680	958	0.008205792051064347	0.07037089393857342	0.3922950748544368	0.7748980177140736	0.9647021226993968	0.9993366046008788	0.9999999978696252
immunobiologyaging	NK_ILC	NK cells	17245	234	234	0	0.5942499747522701	9593	13479	0.004118368117406519	0.08637944722020648	0.33087057991273106	0.6345691686898013	0.8779411370160901	0.9859618073300441	0.9999937127979946
